YearlyCon,YearlyTCost,Mildew_May,Mildew Incidence,Susceptibility to R6 Strains,Susceptibility to nonR6 Strains,Initial Strain,Pruning,degree_centrality_NonR6_MayJun,degree_centrality_NonR6_JunJul,Quadrant,Year
8,619.8915,0,0.0025,1,1,0,3,0,0,SW,2014
8,619.8915,0,0.0025,4,4,1,3,0,0,SW,2014
8,619.8915,0,0.0025,4,4,1,3,0,0,SW,2014
8,619.8915,0,0.0375,2,2,1,4,0,0,SW,2014
8,619.8915,0,0,1,1,0,3,0,0,SE,2014
8,619.8915,0,0,1,1,0,3,0,0,SW,2014
8,619.8915,0,0.0075,4,4,0,4,0,0,SW,2014
8,619.8915,0,0.04,1,1,1,2,0,0,SE,2014
8,619.8915,0.01,0.045,2,2,1,5,0,1,NE,2014
8,619.8915,0.13,0.06,2,2,1,3,0,0,SE,2014
10,915.9638196,0,0.1525,4,4,1,3,0,1,NE,2014
8,619.8915,0,0.01,1,1,1,3,0,0,SE,2014
8,619.8915,0,0.1125,3,3,1,5,0,1,NE,2014
8,619.8915,0.03,0.0525,3,3,2,3,0,1,SE,2014
8,619.8915,0,0,1,1,0,3,0,0,SW,2014
8,619.8915,0,0.0125,1,1,1,3,0,0,SE,2014
10,619.8915,0,0.0125,4,4,1,4,0,0,SW,2014
8,619.8915,0,0.0075,1,1,1,3,0,0,SE,2014
8,619.8915,0,0.0125,1,1,1,5,0,0,SE,2014
10,619.8915,0.01,0.04,4,4,1,5,0,0,SE,2014
8,619.8915,0,0,3,3,0,3,0,0,SE,2014
8,619.8915,0.0075,0.059375,3,3,1,4,0,0,SW,2014
8,681.5423949,0.38,0.6,4,4,1,5,0,1,NE,2014
5,161.6129119,0.01,0.045,2,0,2,2,1,1,NE,2014
13,1131.950133,0,0.135,4,0,2,5,1,1,SE,2014
13,1131.950133,0,0.3425,4,0,2,4,1,1,SE,2014
4,98.14103417,0,0,1,1,0,5,0,0,SE,2014
10,676.5237332,0.12,0.3475,3,3,2,2,1,1,NE,2014
17,1733.358983,0.07,0.4375,5,0,2,4,1,1,NE,2014
13,1249.933725,0,0.295,4,0,2,2,1,1,NE,2014
8,1408.945203,0,0.1525,4,4,2,4,1,1,NE,2014
10,792.2541997,0.06,0.4825,3,3,2,4,1,1,NE,2014
6,181.0814462,0,0,4,0,0,1,0,0,NW,2014
6,181.0814462,0,0,4,0,0,1,0,0,NW,2014
4,168.3684892,0,0.0025,3,3,2,3,0,0,NW,2014
4,177.1819117,0,0,4,4,0,2,0,0,NW,2014
4,177.1819117,0,0,4,4,0,2,0,0,NW,2014
3,170.8254332,0,0.01,3,3,2,5,0,0,NW,2014
6,174.7249677,0,0,4,0,0,1,0,0,NW,2014
4,168.3684892,0,0,3,3,0,3,0,0,NW,2014
4,168.3684892,0,0,3,3,0,2,0,0,NW,2014
4,177.1819117,0,0,1,1,0,2,0,0,NW,2014
12,249.1928613,0,0.0025,2,2,2,4,0,0,NE,2014
9,94.34623706,0,0,1,1,0,1,0,0,NE,2014
2,22.79199945,0,0,3,3,0,5,0,0,NE,2014
9,94.34623706,0,0,0,0,0,1,0,0,NE,2014
4,43.99487929,0,0,1,1,0,1,0,0,NE,2014
4,43.99487929,0,0.0025,1,1,2,3,0,0,NE,2014
9,172.6322107,0,0.075,4,0,2,4,1,0,NE,2014
9,172.6322107,0,0.0825,4,0,2,2,1,0,NE,2014
9,226.4008618,0,0.1175,4,0,2,1,1,0,NE,2014
9,154.6075701,0,0.025,4,0,2,4,1,0,NE,2014
8,588.6236279,0,0.1075,5,0,2,2,0,0,NW,2014
8,588.6236279,0,0.0025,4,0,2,2,0,0,NW,2014
8,588.6236279,0,0.0475,4,4,2,3,0,0,NW,2014
8,588.6236279,0,0.115,4,0,2,2,0,0,NW,2014
6,390.5186827,0,0.005,3,3,2,1,0,0,NW,2014
8,360.1029869,0,0.06,4,0,2,2,1,0,NW,2014
4,205.3100205,0,0,1,1,0,3,0,0,NW,2014
8,353.7465084,0,0.0075,4,0,2,2,0,0,NW,2014
6,390.5186827,0,0,3,3,0,1,0,0,NW,2014
4,205.3100205,0,0,3,3,0,2,0,0,NW,2014
4,352.2182979,0,0,1,1,0,3,0,0,NW,2014
10,615.672063,0,0.0025,4,4,2,1,0,0,SE,2014
9,611.7720583,0,0,2,2,0,1,0,0,SE,2014
9,611.7720583,0,0.005,1,1,2,2,0,0,SE,2014
7,231.1559311,0,0,0,0,0,1,0,0,SE,2014
11,707.7860817,0,0.0075,1,1,1,3,0,0,SE,2014
7,410.0667605,0,0.022809278,3,3,1,2,0,0,SE,2014
10,556.4118187,0,0.0025,3,3,1,1,0,0,SE,2014
5,484.7595319,0,0.0025,3,3,1,2,0,0,SE,2014
10,841.2732996,0,0.0175,3,3,1,1,0,0,SE,2014
11,428.0914011,0,0.0025,1,1,1,1,0,0,SE,2014
11,403.710282,0,0,1,1,0,3,0,0,SE,2014
10,653.3501499,0,0.0175,3,3,2,1,0,0,SE,2014
10,706.076121,0,0.0125,3,3,2,2,0,0,SE,2014
7,425.4355593,0,0.0125,3,3,1,2,0,0,SE,2014
3,156.7425463,0,0.01,3,3,0,5,0,0,SE,2014
7,403.710282,0,0.0275,3,3,1,2,0,0,SE,2014
10,563.0729215,0,0.0075,4,0,2,2,0,0,SE,2014
7,227.9776919,0,0,0,0,0,1,0,0,SE,2014
3,406.8885213,0,0.01,3,3,1,3,0,0,SE,2014
5,307.0928654,0,0.0025,1,1,2,4,0,0,SE,2014
7,410.0667605,0.04,0.0825,3,3,1,2,0,0,SE,2014
10,644.3378296,0,0.0025,3,3,1,1,0,0,SE,2014
9,747.3117247,0,0,1,1,0,1,0,0,SE,2014
7,500.8500962,0,0.005,3,3,1,3,0,0,SW,2014
10,406.8885213,0,0,4,4,0,4,0,0,SW,2014
7,218.9653716,0,0,0,0,0,1,0,0,SW,2014
9,393.2230045,0,0.0825,5,0,2,4,1,0,NE,2014
8,404.8911666,0,0.325,4,0,2,3,1,1,NE,2014
9,264.9944838,0,0,1,1,0,4,0,0,NW,2014
10,405.8100852,0.01,0.0225,3,3,2,3,1,0,NW,2014
9,261.8162446,0,0.0175,3,3,2,4,0,0,NW,2014
8,588.5002855,0,0.13,4,0,2,1,1,1,NW,2014
8,740.5787644,0,0.2775,4,0,2,4,1,1,NW,2014
8,740.5787644,0,0.2425,4,0,2,3,1,1,NW,2014
12,570.4756449,0,0.0025,4,4,2,4,0,0,NW,2014
8,570.4756449,0,0.2775,4,0,2,3,1,1,NW,2014
8,200.4894405,0.01,0.05,3,3,2,5,1,0,NW,2014
9,393.2230045,0.03,0.1925,5,0,2,5,1,1,NW,2014
8,498.6409669,0,0.04,3,3,2,5,1,0,NW,2014
8,1014.380015,0.2,0.5425,4,0,2,2,1,1,NW,2014
5,500.424066,0,0,1,1,0,5,0,0,SW,2015
5,500.424066,0,0,4,4,0,5,0,0,SW,2015
5,500.424066,0,0,4,4,0,5,0,0,SW,2015
5,500.424066,0,0,2,2,0,5,0,0,SW,2015
5,500.424066,0,0.0025,1,1,0,4,0,0,SE,2015
5,500.424066,0,0,1,1,0,5,0,0,SW,2015
5,500.424066,0,0,4,4,0,5,0,0,SW,2015
5,500.424066,0.005,0.06875,1,1,1,5,0,1,SE,2015
5,500.424066,0.01,0.1525,2,2,1,4,0,1,NE,2015
5,500.424066,0,0.04,2,2,1,5,0,0,SE,2015
5,500.424066,0,0.03875,4,4,1,5,0,0,NE,2015
5,500.424066,0,0.0075,3,3,0,4,0,0,NE,2015
5,500.424066,0,0.11,3,3,0,3,1,1,SE,2015
5,500.424066,0,0,1,1,0,5,0,0,SW,2015
5,500.424066,0,0,4,4,0,5,0,0,SW,2015
5,500.424066,0,0,1,1,0,5,0,0,SE,2015
5,500.424066,0,0,1,1,0,5,0,0,SE,2015
5,500.424066,0,0,4,4,0,5,0,0,SE,2015
5,500.424066,0,0,3,3,0,5,0,0,SE,2015
5,500.424066,0,0,3,3,0,5,0,0,SW,2015
10,539.9247255,0,0.2075,4,4,0,4,1,0,NE,2015
8,599.2147682,0,0.035,2,0,2,5,1,0,NE,2015
5,342.3716547,0,0.0025,4,0,2,3,1,1,SE,2015
5,342.3716547,0,0.005,4,0,2,2,0,0,SE,2015
5,184.095108,0,0,1,1,0,3,0,0,SE,2015
3,179.6358646,0,0.0875,3,3,0,4,1,1,NE,2015
6,570.307844,0,0.34375,5,0,2,5,1,0,NE,2015
5,612.7690768,0,0.3925,4,0,2,2,1,1,NE,2015
10,414.8277383,0,0.3,4,4,0,4,1,1,NE,2015
