Year,Field.ID,Grower,Quadrant,Mildew_Apr,Mildew_May,Mildew_Jun,Mildew_Jul,Mildew_Apr_Dummy,Mildew_May_Dummy,Mildew_Jun_Dummy,Mildew_Jul_Dummy,Mildew.Incidence,Mildew.Incidence_Dummy,Susceptibility to V6 strains,Susceptibility to nonV6 strains,Initial strain,Pruning thoroughness,FlagShoot.Incidence,FlagShoot.Incidence_Dummy,YearlyCon,YearlyTCost,Grower_1,Grower_2,Grower_3,Grower_4,Grower_5,Grower_6,Grower_7,Grower_8,Grower_9,YearDummy_2014,YearDummy_2015,YearDummy_2016,YearDummy_2017,NE,NW,SW,SE,Direction_Ordinal,Grower_Ordinal,Prediction,ATE
2014,1,1,SW,0,0,0,0.01,0,0,0,1,0.0025,1,1,1,0,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,17.91522,17.10800401
2014,2,1,SW,0,0,0,0.01,0,0,0,1,0.0025,1,4,4,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,15.52822,16.10622423
2014,3,1,SW,0,0,0,0.01,0,0,0,1,0.0025,1,4,4,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,16.78023,16.10622423
2014,4,1,SW,0,0,0.05,0.1,0,0,1,1,0.0375,1,2,2,1,4,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,17.85517,17.58125862
2014,5,1,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,17.05914,17.55148054
2014,6,1,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,17.04871,17.10800401
2014,7,1,SW,0,0,0.01,0.02,0,0,1,1,0.0075,1,4,4,0,4,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,17.03282,16.45353812
2014,9,1,SE,0,0,0,0.16,0,0,0,1,0.04,1,1,1,1,2,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,16.84305,17.19651198
2014,10,1,NE,0,0.01,0.1,0.07,0,1,1,1,0.045,1,2,2,1,5,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,14.18543,16.35240672
2014,11,1,SE,0,0.13,0.09,0.02,0,1,1,1,0.06,1,2,2,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,18.71249,17.74197184
2014,12,1,NE,0.01,0,0.48,0.12,1,0,1,1,0.1525,1,4,4,1,3,0.0025,1,10,150.0082875,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,16.95062,15.2774956
2014,13,1,SE,0,0,0.03,0.01,0,0,1,1,0.01,1,1,1,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,16.79291,17.55148054
2014,14,1,NE,0,0,0.36,0.09,0,0,1,1,0.1125,1,3,3,1,5,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,16.60281,15.86871012
2014,15,1,SE,0,0.03,0.04,0.14,0,1,1,1,0.0525,1,3,3,2,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,15.11518,15.79196421
2014,16,1,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,17.1506,17.10800401
2014,17,1,SE,0,0,0.01,0.04,0,0,1,1,0.0125,1,1,1,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,17.39293,17.55148054
2014,18,1,SW,0,0,0.02,0.03,0,0,1,1,0.0125,1,4,4,1,4,0,0,10,150.0082875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,16.29299,16.45353812
