Quadrant,predictions1
SE,17.05914
SE,16.84305
NE,14.18543
SE,18.71249
NE,16.95062
SE,16.79291
NE,16.60281
SE,15.11518
SE,17.39293
SE,17.73527
SE,18.03022
SE,14.38302
SE,18.00508
NE,27.82759
NE,16.10689
SE,18.64514
SE,15.87397
SE,16.14623
NE,16.39902
NE,13.37039
NE,15.4404
NE,16.33365
NE,18.39413
NW,14.83423
NW,14.92208
NW,16.40456
NW,16.01024
NW,14.9016
NW,15.73136
NW,15.75296
NW,17.40506
NW,15.87822
NW,15.30996
NE,16.69199
NE,15.61664
NE,16.92575
NE,16.08523
NE,15.8345
NE,16.07215
NE,16.05376
NE,16.51938
NE,15.16929
NE,15.31166
NW,14.84758
NW,15.59627
NW,15.43825
NW,14.58489
NW,16.08843
NW,16.05007
NW,16.25296
NW,14.5664
NW,16.0694
NW,14.57613
NW,16.95502
SE,17.17245
SE,17.34765
SE,15.8868
SE,16.94479
SE,17.26632
SE,16.6332
SE,16.9862
SE,16.68677
SE,16.00799
SE,17.74615
SE,17.98515
SE,16.53645
SE,17.31786
SE,15.55763
SE,16.0497
SE,16.62578
SE,15.91079
SE,16.20501
SE,15.75542
SE,18.0687
SE,17.86987
SE,16.28315
SE,17.10376
NE,17.22378
NE,14.74905
NW,16.72115
NW,13.87018
NW,15.79933
NW,14.49406
NW,13.86037
NW,13.29524
NW,15.42914
NW,14.32692
NW,13.47737
NW,13.82374
NW,16.26965
NW,17.47862
SE,18.01149
SE,16.07451
NE,16.87596
SE,19.07263
NE,17.05422
NE,17.14296
SE,16.68107
SE,18.92098
SE,19.1209
SE,18.10623
SE,17.92722
NE,17.25336
NE,18.12982
SE,16.50704
SE,16.29574
SE,17.43717
NE,16.67292
NE,14.01269
NE,14.80681
NE,16.05898
NE,15.24878
NE,16.89131
NW,15.8603
NW,16.46561
NW,15.85405
NW,16.63026
NW,15.39432
NW,16.05566
NW,17.73282
NW,15.16182
NW,16.41169
NW,17.0148
NW,15.95071
NE,18.37526
NE,18.20303
NE,16.07225
NE,16.31598
NE,16.04911
NE,15.74018
NE,17.26116
NE,16.56231
NE,16.5146
NW,15.41205
NW,15.96594
NW,14.78262
NW,15.66779
NW,15.81262
NW,14.77645
NW,17.38707
NW,16.14031
NW,16.36998
NW,15.77147
NW,16.69592
SE,17.25781
SE,18.13449
SE,17.94528
SE,16.28172
SE,18.10075
SE,16.49672
SE,17.44207
SE,17.19868
SE,18.17624
SE,18.08645
SE,18.50714
SE,17.89478
SE,17.75265
SE,17.26007
SE,16.66795
SE,17.33243
SE,17.01456
SE,15.44006
SE,17.99097
SE,18.05811
SE,18.0569
SE,17.77507
SE,15.77906
SE,18.52023
SE,17.06706
SE,17.35975
SE,17.09041
NW,18.60128
NE,15.09364
NW,16.43864
NW,16.52733
NW,14.91953
NW,15.70691
NW,16.11183
NW,17.15158
NW,14.89443
NW,15.89597
NW,15.45973
NW,15.82142
NW,15.89855
SE,17.92047
SE,17.04816
NE,18.48575
SE,15.88952
NE,15.67077
NE,16.61258
SE,16.65034
SE,17.28382
SE,18.25939
SE,14.60804
SE,16.07154
NE,16.71796
NE,15.78488
NE,16.16329
SE,15.49982
SE,15.86777
NE,17.00742
NE,19.8053
NE,11.69624
NE,16.87838
NE,16.7453
NE,15.91192
NW,15.45686
NW,14.83508
NW,15.09776
NW,16.46136
NW,15.27473
NW,15.28894
NW,15.86446
NW,22.57344
NW,15.26363
NW,16.05903
NW,16.74571
NW,16.55384
NW,15.59083
NE,16.82549
NE,16.46184
NE,17.05829
NE,17.33326
NE,16.02573
NE,14.61723
NE,15.52697
NE,14.93422
NE,15.45987
NW,14.61431
NW,16.14032
NW,15.14328
NW,15.09746
NW,14.55551
NW,14.53245
NW,15.36165
SE,16.30242
SE,16.98988
SE,17.26712
SE,17.78107
SE,15.99767
SE,16.46233
SE,17.79326
SE,16.50892
SE,17.44627
SE,17.41429
SE,16.09615
SE,16.97925
SE,16.08857
SE,17.36438
SE,17.23656
SE,16.56785
SE,17.05115
SE,15.88921
SE,16.29115
SE,15.39606
SE,16.84433
SE,16.18397
SE,17.59389
SE,16.90856
NE,15.19593
NE,14.77479
NW,16.42981
NW,14.71166
NW,15.87477
NW,14.83576
NW,15.7324
NW,15.18787
NW,14.74266
NW,15.5591
NW,15.29976
NW,15.7665
SE,18.11775
SE,15.61259
SE,14.89164
NE,16.31125
NE,17.32525
SE,18.5331
SE,17.52864
SE,18.24103
SE,17.72702
SE,18.3237
NE,18.0831
NE,17.03925
NE,11.33439
SE,16.07581
NE,15.47647
SE,16.57041
SE,16.47669
NE,16.89938
NE,19.07268
NE,16.72557
NE,17.12354
NE,15.80373
NE,16.53639
NW,16.93875
NW,16.02564
NW,15.52521
NW,15.74422
NW,15.765
NW,15.63768
NW,15.8682
NW,16.00556
NW,15.70907
NW,16.51783
NW,15.72478
NW,17.42285
NW,16.45459
NE,17.78728
NE,16.78447
NE,16.85678
NE,17.21456
NW,16.71761
NE,18.18426
NE,17.04274
NE,16.94575
NE,15.54868
NE,15.44649
NE,16.52859
NE,15.58375
NE,16.54826
NW,16.30715
NW,15.51352
NW,16.01521
NW,14.66314
NW,16.26287
NW,14.89755
NW,17.77277
NW,15.98339
NW,17.22363
NW,15.96274
NW,17.12215
SE,17.15314
SE,17.11552
SE,16.73141
SE,16.9717
SE,16.67179
SE,18.16562
SE,17.29997
SE,16.33601
SE,17.12625
SE,18.69946
SE,17.56117
SE,17.86113
SE,16.7721
SE,16.97072
SE,15.04301
SE,17.10414
SE,16.89365
SE,16.52613
SE,18.20825
SE,17.73429
NW,17.13838
NE,16.8565
NE,14.9013
NW,17.3535
NW,17.955
NW,16.47022
NW,16.97927
NW,15.77974
NW,15.76203
NW,15.46411
NW,16.79476
NW,15.57398
