Quadrant,predictions
SE,138.5190858
SE,139.6213133
NE,112.8815219
SE,138.5399185
NE,180.2892637
SE,154.8484816
NE,140.9570574
SE,120.9611358
SE,117.6392602
SE,137.2635461
SE,164.3956242
SE,51.81437439
SE,127.2352743
NE,235.2458589
NE,162.8576776
SE,141.7593204
SE,129.1123021
SE,119.2945417
NE,89.46140674
NE,-11.32214981
NE,129.6471508
NE,132.5835729
NE,159.6603982
NW,112.4000309
NW,117.0702483
NW,144.0359707
NW,134.5427468
NW,131.4364178
NW,143.9102302
NW,130.0789159
NW,122.3385317
NW,143.6180986
NW,125.5490192
NE,153.0331324
NE,132.8678906
NE,134.3181855
NE,126.4686913
NE,126.6781872
NE,121.9750785
NE,141.8711205
NE,115.5702082
NE,113.2020342
NE,120.5318625
NW,131.5209885
NW,132.3704878
NW,141.7529513
NW,135.6164683
NW,133.1245453
NW,102.522981
NW,126.6225172
NW,126.9516388
NW,107.2400729
NW,129.8481782
NW,133.5676007
SE,128.6707746
SE,134.1472937
SE,150.4802063
SE,153.9906088
SE,136.7476768
SE,132.5346665
SE,116.8863929
SE,142.0902183
SE,155.6782967
SE,131.8886383
SE,140.0085402
SE,153.0428078
SE,145.0115281
SE,114.5990165
SE,154.3333122
SE,130.7590916
SE,128.8347861
SE,121.8840005
SE,133.0387014
SE,152.9270091
SE,155.1764563
SE,131.0215488
SE,128.2553234
NE,124.1664349
NE,115.8259365
NW,144.72286
NW,91.76724349
NW,131.8919291
NW,94.00711544
NW,111.7292444
NW,117.5199112
NW,137.6026469
NW,96.80019719
NW,166.797325
NW,155.7794313
NW,119.829724
NW,158.0861208
SE,179.4311424
SE,148.8753838
NE,143.7275998
SE,152.9724092
NE,139.696133
NE,157.4893464
SE,147.2328851
SE,165.5273424
SE,149.7686715
SE,138.0088636
SE,146.625377
NE,142.1710569
NE,165.7317623
SE,131.4130133
SE,141.052109
SE,151.6612201
NE,128.1007421
NE,110.2976742
NE,111.7321348
NE,134.2828781
NE,114.3878999
NE,154.5192412
NW,135.666823
NW,123.9175444
NW,118.3928397
NW,145.5079066
NW,130.2119005
NW,129.2294531
NW,134.0045282
NW,132.1126688
NW,129.2016757
NW,143.3093677
NW,129.6210564
NE,159.2269157
