Field ID,Year,Month,Monthly_constituents,YearlyCon,Monthly_Cost,Annual_Cost
1,2014,April,2,11,49.83042719,619.8915
1,2014,April,2,11,49.83042719,619.8915
1,2014,May,4,11,164.2583024,619.8915
1,2014,May,4,11,164.2583024,619.8915
1,2014,June,4,11,164.2583024,619.8915
1,2014,July,2,11,111.9862154,619.8915
1,2014,July,2,11,111.9862154,619.8915
1,2014,July,1,11,293.8165549,619.8915
2,2014,April,2,11,49.83042719,619.8915
2,2014,April,2,11,49.83042719,619.8915
2,2014,May,4,11,164.2583024,619.8915
2,2014,May,4,11,164.2583024,619.8915
2,2014,June,4,11,164.2583024,619.8915
2,2014,July,2,11,111.9862154,619.8915
2,2014,July,2,11,111.9862154,619.8915
2,2014,July,1,11,293.8165549,619.8915
3,2014,April,2,11,49.83042719,619.8915
3,2014,April,2,11,49.83042719,619.8915
3,2014,May,4,11,164.2583024,619.8915
3,2014,May,4,11,164.2583024,619.8915
3,2014,June,4,11,164.2583024,619.8915
3,2014,July,2,11,111.9862154,619.8915
3,2014,July,2,11,111.9862154,619.8915
3,2014,July,1,11,293.8165549,619.8915
4,2014,April,2,11,49.83042719,619.8915
4,2014,April,2,11,49.83042719,619.8915
4,2014,May,4,11,164.2583024,619.8915
4,2014,May,4,11,164.2583024,619.8915
4,2014,June,4,11,164.2583024,619.8915
4,2014,July,2,11,111.9862154,619.8915
4,2014,July,2,11,111.9862154,619.8915
4,2014,July,1,11,293.8165549,619.8915
5,2014,April,2,11,49.83042719,619.8915
5,2014,April,2,11,49.83042719,619.8915
5,2014,May,4,11,164.2583024,619.8915
5,2014,May,4,11,164.2583024,619.8915
5,2014,June,4,11,164.2583024,619.8915
5,2014,July,2,11,111.9862154,619.8915
5,2014,July,2,11,111.9862154,619.8915
5,2014,July,1,11,293.8165549,619.8915
6,2014,April,2,11,49.83042719,619.8915
6,2014,April,2,11,49.83042719,619.8915
6,2014,May,4,11,164.2583024,619.8915
6,2014,May,4,11,164.2583024,619.8915
6,2014,June,4,11,164.2583024,619.8915
6,2014,July,2,11,111.9862154,619.8915
6,2014,July,2,11,111.9862154,619.8915
6,2014,July,1,11,293.8165549,619.8915
7,2014,April,2,11,49.83042719,619.8915
7,2014,April,2,11,49.83042719,619.8915
7,2014,May,4,11,164.2583024,619.8915
7,2014,May,4,11,164.2583024,619.8915
7,2014,June,4,11,164.2583024,619.8915
7,2014,July,2,11,111.9862154,619.8915
7,2014,July,2,11,111.9862154,619.8915
7,2014,July,1,11,293.8165549,619.8915
9,2014,April,2,11,49.83042719,619.8915
9,2014,April,2,11,49.83042719,619.8915
9,2014,May,4,11,164.2583024,619.8915
9,2014,May,4,11,164.2583024,619.8915
9,2014,June,4,11,164.2583024,619.8915
9,2014,July,2,11,111.9862154,619.8915
9,2014,July,2,11,111.9862154,619.8915
9,2014,July,1,11,293.8165549,619.8915
10,2014,April,2,11,49.83042719,619.8915
10,2014,April,2,11,49.83042719,619.8915
10,2014,May,4,11,164.2583024,619.8915
10,2014,May,4,11,164.2583024,619.8915
10,2014,June,4,11,164.2583024,619.8915
10,2014,July,2,11,111.9862154,619.8915
10,2014,July,2,11,111.9862154,619.8915
10,2014,July,1,11,293.8165549,619.8915
11,2014,April,2,11,49.83042719,619.8915
11,2014,April,2,11,49.83042719,619.8915
11,2014,May,4,11,164.2583024,619.8915
11,2014,May,4,11,164.2583024,619.8915
11,2014,June,4,11,164.2583024,619.8915
11,2014,July,2,11,111.9862154,619.8915
11,2014,July,2,11,111.9862154,619.8915
11,2014,July,1,11,293.8165549,619.8915
12,2014,April,2,13,49.83042719,915.9638196
12,2014,April,2,13,49.83042719,915.9638196
12,2014,May,6,13,460.330622,915.9638196
12,2014,May,6,13,460.330622,915.9638196
12,2014,May,6,13,460.330622,915.9638196
12,2014,May,6,13,460.330622,915.9638196
12,2014,June,6,13,460.330622,915.9638196
12,2014,July,2,13,111.9862154,915.9638196
12,2014,July,2,13,111.9862154,915.9638196
12,2014,July,1,13,293.8165549,915.9638196
13,2014,April,2,11,49.83042719,619.8915
13,2014,April,2,11,49.83042719,619.8915
13,2014,May,4,11,164.2583024,619.8915
13,2014,May,4,11,164.2583024,619.8915
13,2014,June,4,11,164.2583024,619.8915
13,2014,July,2,11,111.9862154,619.8915
13,2014,July,2,11,111.9862154,619.8915
13,2014,July,1,11,293.8165549,619.8915
14,2014,April,2,11,49.83042719,619.8915
14,2014,April,2,11,49.83042719,619.8915
14,2014,May,4,11,164.2583024,619.8915
14,2014,May,4,11,164.2583024,619.8915
14,2014,June,4,11,164.2583024,619.8915
14,2014,July,2,11,111.9862154,619.8915
14,2014,July,2,11,111.9862154,619.8915
14,2014,July,1,11,293.8165549,619.8915
15,2014,April,2,11,49.83042719,619.8915
15,2014,April,2,11,49.83042719,619.8915
15,2014,May,4,11,164.2583024,619.8915
15,2014,May,4,11,164.2583024,619.8915
15,2014,June,4,11,164.2583024,619.8915
15,2014,July,2,11,111.9862154,619.8915
15,2014,July,2,11,111.9862154,619.8915
15,2014,July,1,11,293.8165549,619.8915
16,2014,April,2,11,49.83042719,619.8915
16,2014,April,2,11,49.83042719,619.8915
16,2014,May,4,11,164.2583024,619.8915
16,2014,May,4,11,164.2583024,619.8915
16,2014,June,4,11,164.2583024,619.8915
16,2014,July,2,11,111.9862154,619.8915
16,2014,July,2,11,111.9862154,619.8915
